Team ID,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Rk,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,TOV,PF,PTS,Finals
Los Angeles Lakers*2010-2011,57,25,0.695,1,6.01,90.7,-1.4,111.0,3.7,104.3,-3.0,9,241.8,38.1,82.4,0.46299999999999997,6.4,18.1,0.35200000000000004,31.8,0.494,18.8,24.1,0.779,12.1,31.9,44.0,22.0,7.3,13.1,19.0,101.5,L
Los Angeles Lakers*2009-2010,57,25,0.695,1,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,12,241.8,38.3,83.8,0.457,6.5,19.0,0.341,31.9,0.49200000000000005,18.5,24.2,0.765,11.9,32.5,44.3,21.1,7.5,13.4,19.4,101.7,W
Los Angeles Lakers*2008-2009,65,17,0.7929999999999999,1,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,3,241.2,40.3,85.1,0.474,6.7,18.5,0.361,33.7,0.505,19.6,25.5,0.77,12.4,31.5,43.9,23.3,8.8,13.5,20.7,106.9,W
Memphis Grizzlies*2016-2017,43,39,0.524,3,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,29,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27.0,0.473,18.3,23.4,0.784,10.8,32.0,42.8,21.3,8.0,12.9,22.4,100.5,L
Memphis Grizzlies*2015-2016,42,40,0.512,3,-2.14,93.3,-2.5,105.4,-1.0,107.8,1.4,24,241.8,36.8,83.6,0.44,6.1,18.5,0.331,30.7,0.47100000000000003,19.3,24.7,0.7829999999999999,11.2,30.5,41.6,20.7,8.8,13.3,21.7,99.1,L
Memphis Grizzlies*2014-2015,55,27,0.6709999999999999,2,3.62,92.0,-1.9,105.7,0.1,102.2,-3.4,20,242.7,37.8,82.5,0.45799999999999996,5.2,15.2,0.33899999999999997,32.6,0.485,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,13.3,19.1,98.3,L
Memphis Grizzlies*2013-2014,50,32,0.61,3,2.18,89.9,-4.0,106.3,-0.4,104.6,-2.1,27,241.5,38.1,82.0,0.46399999999999997,4.9,14.0,0.353,33.1,0.48700000000000004,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,13.7,19.1,96.1,L
Memphis Grizzlies*2012-2013,56,26,0.6829999999999999,2,4.32,88.4,-3.6,104.9,-1.0,100.3,-5.6,27,241.5,36.1,81.5,0.444,4.7,13.5,0.345,31.5,0.46299999999999997,16.5,21.3,0.773,12.9,29.8,42.7,20.9,8.6,14.0,20.2,93.4,L
Memphis Grizzlies*2011-2012,41,25,0.621,2,2.43,90.8,-0.5,104.0,-0.6,101.8,-2.8,20,241.5,36.7,82.2,0.447,4.2,12.9,0.326,32.5,0.47,17.3,22.8,0.759,12.6,29.5,42.0,19.5,9.6,14.5,19.9,95.0,L
Memphis Grizzlies*2010-2011,46,36,0.561,4,2.55,91.9,-0.2,107.6,0.3,105.1,-2.2,12,242.4,39.0,82.9,0.47100000000000003,3.8,11.3,0.33399999999999996,35.3,0.49200000000000005,18.1,24.2,0.75,11.8,29.2,41.0,20.6,9.4,14.0,20.8,99.9,L
Miami Heat*2015-2016,48,34,0.585,1,1.5,93.6,-2.2,106.1,-0.3,104.4,-2.0,23,241.8,38.4,81.7,0.47,6.1,18.0,0.336,32.3,0.508,17.1,23.0,0.7440000000000001,9.8,34.3,44.1,20.8,6.7,14.1,18.3,100.0,L
Miami Heat*2013-2014,54,28,0.659,1,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,12,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,0.5579999999999999,17.5,23.0,0.76,7.6,29.2,36.9,22.5,8.9,14.8,19.5,102.2,L
Miami Heat*2012-2013,66,16,0.805,1,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,5,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,13.9,18.7,102.9,W
Miami Heat*2011-2012,46,20,0.6970000000000001,1,5.72,91.2,-0.1,106.6,2.0,100.2,-4.4,7,243.0,37.1,79.0,0.469,5.6,15.6,0.359,31.5,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20.0,8.9,15.2,19.4,98.5,W
Miami Heat*2010-2011,58,24,0.7070000000000001,1,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,8,241.2,37.0,76.8,0.48100000000000004,6.7,18.0,0.37,30.3,0.515,21.5,27.9,0.769,9.6,32.5,42.1,20.0,6.6,13.9,20.4,102.1,L
Miami Heat*2009-2010,47,35,0.573,3,1.99,89.6,-3.1,106.6,-1.0,104.1,-3.5,25,242.4,36.4,79.5,0.45799999999999996,6.0,17.4,0.34600000000000003,30.4,0.489,17.7,23.5,0.752,10.7,31.1,41.8,18.9,7.4,13.2,20.9,96.5,L
Miami Heat*2008-2009,43,39,0.524,3,0.49,89.9,-1.8,107.8,-0.5,107.6,-0.7,18,243.4,37.0,81.0,0.457,7.1,19.9,0.35700000000000004,29.9,0.489,17.2,22.8,0.754,10.1,29.4,39.5,20.4,7.9,12.5,20.7,98.3,L
Milwaukee Bucks*2016-2017,42,40,0.512,2,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5,20,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30.0,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,14.0,20.2,103.6,L
Milwaukee Bucks*2014-2015,41,41,0.5,3,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4,22,243.0,37.6,82.0,0.45899999999999996,6.6,18.3,0.363,31.0,0.486,16.0,21.1,0.757,10.7,31.4,42.1,23.6,9.6,16.7,22.1,97.8,L
Milwaukee Bucks*2012-2013,38,44,0.46299999999999997,3,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,12,241.8,38.1,87.8,0.435,7.3,20.4,0.36,30.8,0.457,15.3,20.7,0.736,13.0,30.9,44.0,22.9,8.4,14.1,19.0,98.9,L
Milwaukee Bucks*2009-2010,46,36,0.561,2,1.37,91.7,-1.0,104.9,-2.7,103.1,-4.5,23,243.7,37.2,85.3,0.436,7.9,22.1,0.35600000000000004,29.3,0.46399999999999997,15.4,20.4,0.755,11.8,31.2,43.0,21.2,7.1,13.2,22.2,97.7,L
New Orleans Pelicans*2014-2015,45,37,0.5489999999999999,5,1.13,91.4,-2.5,108.2,2.6,107.3,1.7,16,241.2,37.9,82.9,0.457,7.1,19.3,0.37,30.8,0.484,16.4,21.8,0.7509999999999999,11.5,32.0,43.5,22.0,6.7,13.3,18.7,99.4,L
New Orleans Hornets*2010-2011,46,36,0.561,3,1.28,88.7,-3.4,106.2,-1.1,105.2,-2.1,27,241.8,35.9,78.2,0.45899999999999996,5.4,15.0,0.36,30.5,0.48200000000000004,17.7,23.1,0.765,10.0,30.1,40.1,20.6,7.6,13.0,21.0,94.9,L
New Orleans Hornets*2008-2009,49,33,0.598,4,1.41,87.8,-3.9,108.7,0.4,107.0,-1.3,26,240.9,35.5,77.6,0.457,6.8,18.6,0.364,28.7,0.48700000000000004,18.0,22.4,0.807,9.8,29.9,39.7,19.6,7.2,12.5,20.3,95.8,L
New York Knicks*2012-2013,54,28,0.659,1,3.73,89.8,-2.2,111.1,5.2,106.3,0.4,11,240.6,36.5,81.6,0.44799999999999995,10.9,28.9,0.376,25.7,0.48700000000000004,16.0,21.1,0.759,10.9,29.7,40.6,19.3,8.2,12.0,20.1,100.0,L
New York Knicks*2011-2012,36,30,0.545,2,2.39,93.2,1.9,104.4,-0.2,101.0,-3.6,11,241.5,35.8,80.8,0.44299999999999995,7.8,23.3,0.336,28.0,0.48700000000000004,18.3,24.8,0.741,11.3,30.5,41.7,20.1,9.4,16.0,21.1,97.8,L
New York Knicks*2010-2011,42,40,0.512,2,0.48,95.6,3.5,110.9,3.6,110.1,2.8,2,241.2,38.3,83.7,0.457,9.3,25.4,0.368,29.0,0.496,20.6,25.5,0.809,10.3,30.1,40.5,21.4,7.6,13.7,21.3,106.5,L
Oklahoma City Thunder*2016-2017,47,35,0.573,2,1.14,97.8,1.4,108.3,-0.5,107.5,-1.3,11,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,15.0,20.9,106.6,L
Oklahoma City Thunder*2015-2016,55,27,0.6709999999999999,1,7.09,96.7,0.9,113.1,6.7,105.6,-0.8,2,241.8,41.1,86.4,0.47600000000000003,8.3,23.7,0.349,32.9,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23.0,7.4,15.9,20.6,110.2,L
Oklahoma City Thunder*2013-2014,59,23,0.72,1,6.66,95.4,1.5,110.5,3.8,103.9,-2.8,5,241.5,39.0,82.7,0.47100000000000003,8.1,22.4,0.361,30.9,0.512,20.2,25.0,0.8059999999999999,10.8,33.9,44.7,21.9,8.3,15.3,22.7,106.2,L
Oklahoma City Thunder*2012-2013,60,22,0.732,1,9.15,93.3,1.3,112.4,6.5,102.6,-3.3,3,241.8,38.1,79.3,0.48100000000000004,7.3,19.4,0.377,30.8,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,15.3,20.2,105.7,L
Oklahoma City Thunder*2011-2012,47,19,0.7120000000000001,1,6.44,93.0,1.7,109.8,5.2,103.2,-1.4,3,242.3,37.3,79.2,0.47100000000000003,7.2,20.0,0.358,30.2,0.509,21.3,26.4,0.8059999999999999,11.0,32.7,43.7,18.5,7.5,16.3,20.5,103.1,L
